,outputvariance,lengthscale,alpha
0,0.4554183519168281,0.5175076268541436,0.4047423266193461
1,0.41759223454091315,0.798373768745347,0.5048063493791811
2,0.5003117929242914,0.7239163296927913,0.38773875220853066
3,0.4088382628331318,0.3231590511476014,0.6041382340142969
4,0.4049017641007713,1.1361517340740546,0.4547406978682813
5,0.36671532041984667,0.8771133737190012,0.41704047084433216
6,0.38067254863600586,0.7438583233892417,0.44339540503523267
7,0.33058017126792233,0.3516745400068027,0.45531231616244044
8,0.4279903780760699,0.8600159848120514,0.4697078230218762
9,0.396660234991315,0.43601601110580596,0.37778803699925523
10,0.43149597955223457,0.7740400501495666,0.4721799707618526
11,0.4557056290021914,0.3249507008050232,0.3813189106715113
12,0.3611325419961887,0.7480688880830938,0.3941945426036533
13,0.49854696826101924,0.46798905942233354,0.4297319922092151
14,0.3482001956132657,0.5701155177445066,0.38211715701864196
15,0.4705431970264822,0.3790288239990063,0.37433175335650454
16,0.5055647851186006,0.8295694947753485,0.41151057885240533
17,0.6419442712831654,0.5800476924598704,0.3082962689483686
18,0.5034330756676284,0.6269196555488501,0.3880957002219068
19,0.5297508175751946,0.38266454490427115,0.4145995823108287
20,0.5258394950587233,0.6866187617102039,0.3752819123858729
21,0.5818499138632458,0.8348404485855945,0.3282101464385573
22,0.4980539006421853,0.9768220610760812,0.34717974971316456
23,0.5828019215879816,0.45153655481428184,0.543167655192861
24,0.5626599243177312,0.5296056250188487,0.4477035482989372
25,0.4085703404788994,0.8870082123875349,0.3276550851018341
26,0.5006757386361607,1.3075566404132155,0.31998817902045806
27,0.5961695287633162,0.40348593938738636,0.5599776265488892
28,0.5196001555196359,0.7461881194565206,0.3901230293721646
29,0.41006902979647547,0.7332643490282039,0.48474080352257154
30,0.5546362376506175,1.1933194678430974,0.33063847115212175
31,0.5404058329167741,0.4239316699773479,0.8741113898814928
32,0.4396075760974452,0.706206580242815,0.35582190510299194
33,0.3621309008275404,0.9394218160325228,0.517848540056056
34,0.46318032452132907,0.5584129701227771,0.3778208604467261
35,0.41125231419894875,0.4839870378440056,0.4526886720164244
36,0.4445178005747954,0.7420659817536449,0.324741769604663
37,0.5945941214861992,0.9074287808583384,0.5132518016765101
38,0.8086537013492214,0.5375468769967373,0.5393348656000447
39,0.4223307929797383,0.49174106076266866,0.44909323799408024
40,0.36136198282355075,0.8031598540828674,0.386952836483654
41,0.567234015274961,0.78378631401919,0.47471137491381193
42,0.699827380790004,0.5194265809791461,0.3807648305384544
43,0.46720424233971203,0.3634039040382798,0.5796824779116205
44,0.34170969531095957,0.8309743063368012,0.38686974583452904
45,0.4383888776670617,0.6164420559545021,0.4258331462528932
46,0.5849531905063823,0.5144436458102915,0.3708857794135963
47,0.5782950449366913,0.3530842524227815,0.5781290814836046
48,0.4154732736264893,0.9055038519929581,0.4282831962273075
49,0.4335906901567359,0.6230183485561686,0.40353121008456755
50,0.34379017346433466,0.6660755217796585,0.456509781686721
51,0.569564864228569,0.5887024038602867,0.5197554017312773
52,0.4713030256600213,0.8350418069300702,0.3151109014543469
53,0.5894008001351927,0.6502444551868296,0.4166458030645147
54,0.33026141291984,0.6357040975704766,0.6065908884359645
55,0.5536090977533584,0.5616512749742226,0.596112276389552
56,0.6981430663131744,1.416625893902515,0.28732104097822403
57,0.5303466678159207,0.6577530315859466,0.39367412545327357
58,0.4313636914242433,0.5723714346806951,1.2305141459298339
59,0.5244348352982079,0.6986933264864027,0.5654728189207647
60,0.567885263925861,1.3638551145933602,0.23464533663675355
61,0.5598720047370299,0.6240172611704756,0.40501032863917874
62,0.5972216126236826,0.6163589225106745,0.3215802473682818
63,0.6322409893771523,0.5972693597162391,0.5118212553528093
64,0.5592061875574492,1.343989519482902,0.22053157768321593
65,0.6671093656820045,0.4564908964896755,0.646531347880219
66,0.3173436961538143,0.8555873025535065,0.7621024607525814
67,0.570430571638221,0.3168855820587628,0.49747590772122435
68,0.6250654768168763,1.3633160045877528,0.24060050472808034
69,0.6004631657465938,0.4422660570234437,0.6164144389949214
70,0.5444034205439534,0.6111286907402542,0.35016329823449244
71,0.4704161619526891,0.3782340864471162,0.34648383549991035
72,0.5799663179259232,0.8052260518391554,0.4312654056033925
73,0.4092819828792811,0.5696294852836198,0.4848876595623102
74,0.5222785670507357,0.7207190758127986,0.39176600776370046
75,0.5850341946844854,0.5960979176459948,0.2944395419884621
76,0.4270479014134374,1.519576317867463,0.36941736791197166
77,0.4651809025651599,0.5536557433164172,0.49475339760869597
78,0.6671252263285399,0.7916818768410986,0.4352681807479436
79,0.5791923414562646,0.6407813006352304,0.30380738770700333
80,0.41096447703501965,1.6645696160865038,0.34604200068651936
81,0.5081636314600654,0.6068221601112772,0.5874277404248825
82,0.5913872041712375,0.7561521086983816,0.2672405964661144
83,0.7151176718612435,0.6845282914894487,0.2975776290131028
84,0.41837464547521036,1.4449736584469737,0.39876797942434106
85,0.5517858770908166,0.4184827522701445,0.6299043063930811
86,0.5711294889740622,0.7086508898099161,0.25511912145478916
87,0.7733105220697765,0.7623488995819505,0.2680427243173576
88,0.4049225915668466,1.4226261981227457,0.34361624969533705
89,0.41821455444375777,0.43227831458430954,0.6490263708575731
90,0.5019183354490022,0.7531523945938896,0.3307844577236493
91,0.5784050076717995,0.8020046267111306,0.2528717207225271
92,0.33072039756902993,0.7595520017902699,0.41022014652915617
93,0.3390050930453454,0.42967676309456154,0.5856037134142075
94,0.5930807090636109,0.8911738585052644,0.3625397936257272
95,0.5533771887856442,0.8241629322277721,0.25291596874340483
96,0.3262061286824019,0.7672643194691778,0.37318502394915554
97,0.5664789856148907,0.5068297485088665,0.51017269080349
98,0.4721984443502412,0.8267851942024547,0.37999953618430776
99,0.7439685483165053,0.9057862894475418,0.27727356615632126
100,0.4665215671944013,0.4958603153315366,0.32330589780315766
101,0.6029259071243631,0.3572290717393449,0.40516449346394967
102,0.3691832663551684,0.612319524652619,0.5903136073414279
103,0.6100626857329845,0.6720055117266903,0.343704309352237
104,0.43769647554872904,0.4882784683821595,0.32541625661777834
105,0.7994137047387886,0.5451707549361987,0.4812852420449162
106,0.5844637487502975,0.7788433398697568,0.38689482022379795
107,0.5573564950839068,0.669755851814974,0.3307613566282138
108,0.6093943003917468,0.5939483458601084,0.38463333742738387
109,0.29225331324182524,0.8485099303945304,0.3992974948623149
110,0.45655991856394773,0.7611901827832259,0.40305928258258444
111,0.3543977600124052,0.6308960929054225,0.28894126190283115
112,0.5900415921435845,0.6391581025168792,0.29209351169841447
113,0.2874125778212698,0.5902780590768734,0.3862665027996315
114,0.7307662730511609,0.8477942344444371,0.3298926642064442
115,0.4316875373045309,0.9894443482070531,0.347750488964118
116,0.5457500010137435,0.6930251185702409,0.30861589130646655
117,0.24310223733495154,0.710014993040273,0.4543544412576339
118,0.5366111315744893,0.7870467072949879,0.4079186454278378
119,0.41394595220288277,0.3283787528626902,0.5720774318923177
120,0.4919634124243538,1.1733454146557816,0.3914347267362153
121,0.2491310100936159,0.7267644606262484,0.4523156638834608
122,0.4129609079446606,0.47389696165280887,0.4915469041580913
123,0.5066013024132976,0.36687180312574136,0.5842732124800557
124,0.5597710988110955,0.47695597618368896,0.3694302993788871
125,0.34082739895664954,0.715020494276224,0.53816984656811
126,0.5452694180733114,0.7568461032815811,0.5080358686030302
127,0.3337866641910272,0.5804540119018822,0.5828428643740604
128,0.43381772723798895,0.5166928230398462,0.3767465008279391
129,0.35743070672426025,0.6488492390712692,0.4807024024204921
